ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Corkscrew Road,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,1058,5,Resolution,8801 Corkscrew Road Structure Demolition - RFB 2023-04,"8801 Corkscrew Road Structure Demolition - RFB 2023-04. Action: Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on beh...","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the Village Manager is not to move forward with the demolition until further direction from Council. Additionally, Resolution No. 2023-02 was clarified to correct the date of execution from March 15, 2023, to February 15, 2023 due to error","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the Village Manager is not to move forward with the demolition until further direction from Council. Additionally, Resolution No. 2023-02 was clarified to correct the date of execution from March 15, 2023, to February 15, 2023 due to error","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the Village Manager is not to move forward with the demolition until further direction from Council. Additionally, Resolution No. 2023-02 was clarified to correct the date of execution from March 15, 2023, to February 15, 2023 due to error",,,Detected,Council. Additionally,RFB 2023-04,,"8801 Corkscrew Road, Estero, FL","8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,1.0,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2023-10-18,2023-10-18,2023,Accepted,1792,4,Contract Approval,8801 Corkscrew Road Structure Demolition - RFB 2023-04,"8801 Corkscrew Road Structure Demolition - RFB 2023-04. Action: Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on beh...","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",,,Detected,,RFB 2023-04,,"8801 Corkscrew Road, Estero, FL","8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,1.0,TD/CS,10182023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/10182023%20minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2016-02-10,2016-02-10,2016,Accepted,206,5,Vote,"RFP 2016-02 Council Chambers Audio, Video and Sound System","RFP 2016-02 Council Chambers Audio, Video and Sound System. Action: Authorized staff to distribute RFP 2016-02",Authorized staff to distribute RFP 2016-02,Authorized staff to distribute RFP 2016-02,Authorized staff to distribute RFP 2016-02,,,Unanimous,,RFP 2016-02,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,DA/MI,021016 Council Regular Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/021016%20Council%20Regular%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2016-03-23,2016-03-23,2016,Accepted,431,5,Unknown,"RFP 2016-02 Council Chambers Audio, Video and Sound System-Accept Proposal","RFP 2016-02 Council Chambers Audio, Video and Sound System-Accept Proposal. Action: Awarded the bid to ProAudio Services with the recommended add-ons",Awarded the bid to ProAudio Services with the recommended add-ons,Awarded the bid to ProAudio Services with the recommended add-ons,,,,Unanimous,,RFP 2016-02,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,DA/MI,032316 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/032316%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,2573,14,Vote,Computer Replacement Proposal,"Computer Replacement Proposal. Action: Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference","Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference","Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference","Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference",,,Detected,ProAudio,,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation,1,true,
Budget / Capital Improvement,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2020-07-08,2020-07-08,2020,Accepted,1176,3,Resolution,"Resolution 2020-11 Of The Village Council Of The Village OfEstero, Florida, Approving A Budget Amendment For Coconut Road Improvement Study For Fiscal Year 2019-2020; And Providing An Effective Date Supplemental Task Authorization (STA)-14 under C...","Resolution 2020-11 Of The Village Council Of The Village OfEstero, Florida, Approving A Budget Amendment For Coconut Road Improvement Study For Fiscal Year 2019-2020; And Providing An Effective Date Supplemental Task Authorization (STA)-14 under CN 2020-0. Action: Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village...","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment",,,Detected,,CN 2020-0,,"Coconut Road from US 41 to Via Coconut Point, Estero, FL","Coconut Road from US 41 to Via Coconut Point, Estero, FL",26.398474495578,-81.808064278126,0.95,TD/SS,07082020 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/07082020%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2021-04-07,2021-04-07,2021,Accepted,530,3,Resolution,"Resolution No. 2021-10 of the Village Council of the Village of Estero, Florida, Approving the Second Budget Amendment for Fiscal Year 2020-2021 to Approve Use of Additional Village Funds and Provide a Funding Transfer for Corkscrew Road/Puente La...","Resolution No. 2021-10 of the Village Council of the Village of Estero, Florida, Approving the Second Budget Amendment for Fiscal Year 2020-2021 to Approve Use of Additional Village Funds and Provide a Funding Transfer for Corkscrew Road/Puente Lane Traff. Action: Approved Resolution 2021-10",Approved Resolution 2021-10,Approved Resolution 2021-10,Approved Resolution 2021-10,,,Detected,,Resolution No. 2021-10,,"Corkscrew Road & Puente Lane, Estero, FL","Corkscrew Road & Puente Lane, Estero, FL",26.431386394627,-81.784740920078,1.0,TD/CS,04072021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/04072021%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,2566,7,Contract Approval,Corkscrew Road Interlocal Agreement,Corkscrew Road Interlocal Agreement. Action: 1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,,,See minutes,,,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2024-11-06,2024-11-06,2024,Accepted,1953,7,Contract Approval,Corkscrew Road Corkscrew Road CMAR Contract Guaranteed Maximum Price (GMP) Addendum No. 01,Corkscrew Road Corkscrew Road CMAR Contract Guaranteed Maximum Price (GMP) Addendum No. 01. Action: Approved Contract Number 24005 GMP Addendum No. 01 and staff is to come back to Council within 45 days with scope reduction and cost reduction for Council to review,Approved Contract Number 24005 GMP Addendum No. 01 and staff is to come back to Council within 45 days with scope reduction and cost reduction for Council to review,Approved Contract Number 24005 GMP Addendum No. 01 and staff is to come back to Council within 45 days with scope reduction and cost reduction for Council to review,Approved Contract Number 24005 GMP Addendum No. 01 and staff is to come back to Council within 45 days with scope reduction and cost reduction for Council to review,,,Detected,,,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,TD/CS,11062024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/11062024%20minutes.pdf,AgendaItemLocation,1,true,
Septic to Sewer,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2021-09-22,2021-09-22,2021,Accepted,1615,6,Contract Approval,"Estero Bay Village, Sunny Groves, & Cypress Bend Utility Expansion Design & Permitting Contract","Estero Bay Village, Sunny Groves, & Cypress Bend Utility Expansion Design & Permitting Contract. Action: Approved award of Supplemental Task Authorization (STA) - 01 Contract EC 2020-37 with Tetra Tech, Inc. to provide Design and Permitting services for utility expansion projects under the Village's Misc. Service Contract CN 2020-01 for a not to exceed contract amount of $371,013, approve a contingency fund amount of $38,000 (an amount equal to 10% of the total project cost) to cover unforese...","Approved award of Supplemental Task Authorization (STA) - 01 Contract EC 2020-37 with Tetra Tech, Inc. to provide Design and Permitting services for utility expansion projects under the Village's Misc. Service Contract CN 2020-01 for a not to exceed contract amount of $371,013, approve a contingency fund amount of $38,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA with Tetra Tech, Inc. and any other related ancillary documents on behalf of the Village Council","Approved award of Supplemental Task Authorization (STA) - 01 Contract EC 2020-37 with Tetra Tech, Inc. to provide Design and Permitting services for utility expansion projects under the Village's Misc. Service Contract CN 2020-01 for a not to exceed contract amount of $371,013, approve a contingency fund amount of $38,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA with Tetra Tech, Inc. and any other related ancillary documents on behalf of the Village Council","Approved award of Supplemental Task Authorization (STA) - 01 Contract EC 2020-37 with Tetra Tech, Inc. to provide Design and Permitting services for utility expansion projects under the Village's Misc. Service Contract CN 2020-01 for a not to exceed contract amount of $371,013, approve a contingency fund amount of $38,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA with Tetra Tech, Inc. and any other related ancillary documents on behalf of the Village Council",,,Detected,Tetra Tech,EC 2020-37,,"Estero Bay Village, Estero, FL","Estero Bay Village, Estero, FL",26.4408,-81.8225,0.9,TD/CS,09222021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/09222021%20minutes.pdf,AgendaItemLocation,1,true,
