ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Budget / Capital Improvement,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2024-05-15,2024-05-15,2024,Accepted,789,6,Ordinance,"Ordinance No. 2024-06 Capital Improvement Program An Ordinance of the Village Council of the Village of Estero, Florida, Adopting the Annual Capital Improvement Program for Fiscal Year 2024-2025; Making Related Findings; and Providing for Severabi...","Ordinance No. 2024-06 Capital Improvement Program An Ordinance of the Village Council of the Village of Estero, Florida, Adopting the Annual Capital Improvement Program for Fiscal Year 2024-2025; Making Related Findings; and Providing for Severability, Co. Action: Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024","Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024","Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024","Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024",,,Detected,,Ordinance No. 2024-06,,"8111 Broadway Avenue East, Estero, FL","8111 Broadway Avenue East, Estero, FL",26.44244610632,-81.809993666508,0.5,TD/CS,05152024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05152024%20minutes.pdf,AgendaItemLocation,1,true,
Budget / Capital Improvement,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2024-06-05,2024-06-05,2024,Accepted,923,7,Ordinance,"Ordinance No. 2024-06 Capital Improvement Program An Ordinance of the Village Council of the Village of Estero, Florida, Adopting the Annual Capital Improvement Program for Fiscal Year 2024-2025; Making Related Findings; and Providing for Severabi...","Ordinance No. 2024-06 Capital Improvement Program An Ordinance of the Village Council of the Village of Estero, Florida, Adopting the Annual Capital Improvement Program for Fiscal Year 2024-2025; Making Related Findings; and Providing for Severability, Co. Action: Passed Second Reading of Ordinance No. 2024-06",Passed Second Reading of Ordinance No. 2024-06,Passed Second Reading of Ordinance No. 2024-06,Passed Second Reading of Ordinance No. 2024-06,,,Detected,,Ordinance No. 2024-06,,"8111 Broadway Avenue East, Estero, FL","8111 Broadway Avenue East, Estero, FL",26.44244610632,-81.809993666508,0.5,TD/CS,06052024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/06052024%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2023-06-21,2023-06-21,2023,Accepted,1072,5,Resolution,8801 Corkscrew Road Structure Demolition - RFB 2023-04,"8801 Corkscrew Road Structure Demolition - RFB 2023-04. Action: Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on beh...","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the Village Manager is not to move forward with the demolition until further direction from Council. Additionally, Resolution No. 2023-02 was clarified to correct the date of execution from March 15, 2023, to February 15, 2023 due to error","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the Village Manager is not to move forward with the demolition until further direction from Council. Additionally, Resolution No. 2023-02 was clarified to correct the date of execution from March 15, 2023, to February 15, 2023 due to error","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council with the instructions that the Village Manager is not to move forward with the demolition until further direction from Council. Additionally, Resolution No. 2023-02 was clarified to correct the date of execution from March 15, 2023, to February 15, 2023 due to error",,,Detected,Council. Additionally,RFB 2023-04,,"8801 Corkscrew Road, Estero, FL","8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,1.0,TD/CS,06212023  minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2023-10-18,2023-10-18,2023,Accepted,1806,4,Contract Approval,8801 Corkscrew Road Structure Demolition - RFB 2023-04,"8801 Corkscrew Road Structure Demolition - RFB 2023-04. Action: Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on beh...","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council","Approved award of Request for Bids No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council",,,Detected,,RFB 2023-04,,"8801 Corkscrew Road, Estero, FL","8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,1.0,TD/CS,10182023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/10182023%20minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2016-02-10,2016-02-10,2016,Accepted,206,5,Vote,"RFP 2016-02 Council Chambers Audio, Video and Sound System","RFP 2016-02 Council Chambers Audio, Video and Sound System. Action: Authorized staff to distribute RFP 2016-02",Authorized staff to distribute RFP 2016-02,Authorized staff to distribute RFP 2016-02,Authorized staff to distribute RFP 2016-02,,,Unanimous,,RFP 2016-02,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,DA/MI,021016 Council Regular Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/021016%20Council%20Regular%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2016-03-23,2016-03-23,2016,Accepted,431,5,Unknown,"RFP 2016-02 Council Chambers Audio, Video and Sound System-Accept Proposal","RFP 2016-02 Council Chambers Audio, Video and Sound System-Accept Proposal. Action: Awarded the bid to ProAudio Services with the recommended add-ons",Awarded the bid to ProAudio Services with the recommended add-ons,Awarded the bid to ProAudio Services with the recommended add-ons,,,,Unanimous,,RFP 2016-02,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,DA/MI,032316 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/032316%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,2587,14,Vote,Computer Replacement Proposal,"Computer Replacement Proposal. Action: Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference","Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference","Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference","Authorized the Village Manager to approve the purchase of new computers from ProAudio for the Council Chambers, the purchase ofnew laptops, briefcases, and docking stations from Dell for staff, and the purchase of new laptops and briefcases from Dell or Apple for Council, depending on preference",,,Detected,ProAudio,,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation,1,true,
Horizon Council Foundation - Avalon at Grandezza Condominium,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2015-07-01,2015-07-01,2015,Accepted,1104,7,Budget,Horizon Council Foundation,"Horizon Council Foundation. Action: Councilmember Wilson moved to allocate $2,500 as a Horizon Foundation investor, seconded by Councilmember Ribble. Discussion followed. In response to Village Manager Lombardi inquiring whether this would be coming from the current fiscal year budget, Councilmember Wilson responded that it should, if it could be done from the current fiscal year budget. Vice Mayor Levitan stated that there had been other requests from this year's budget and his understanding...","Councilmember Wilson moved to allocate $2,500 as a Horizon Foundation investor, seconded by Councilmember Ribble. Discussion followed. In response to Village Manager Lombardi inquiring whether this would be coming from the current fiscal year budget, Councilmember Wilson responded that it should, if it could be done from the current fiscal year budget. Vice Mayor Levitan stated that there had been other requests from this year's budget and his understanding was that Council took the position that until the Village had gone through a budget cycle and developed a fiscal year 2015/2016 budget, Council was not going to consider these types of requests. Councilmember Wilson stated that the Foundation was looking for the funding now and he believed the Village had sufficient funds if the Council chose to pay at this time. Councilmember Boesch inquired about the possibility of calling the Foundation to explain that this was the Village's first year, the budget did not include payment of co...","Councilmember Wilson moved to allocate $2,500 as a Horizon Foundation investor, seconded by Councilmember Ribble. Discussion followed. In response to Village Manager Lombardi inquiring whether this would be coming from the current fiscal year budget, Councilmember Wilson responded that it should, if it could be done from the current fiscal year budget. Vice Mayor Levitan stated that there had been other requests from this year's budget and his understanding was that Council took the position that until the Village had gone through a budget cycle and developed a fiscal year 2015/2016 budget, Council was not going to consider these types of requests. Councilmember Wilson stated that the Foundation was looking for the funding now and he believed the Village had sufficient funds if the Council chose to pay at this time. Councilmember Boesch inquired about the possibility of calling the Foundation to explain that this was the Village's first year, the budget did not include payment of co...","Councilmember Wilson moved to allocate $2,500 as a Horizon Foundation investor, seconded by Councilmember Ribble. Discussion followed. In response to Village Manager Lombardi inquiring whether this would be coming from the current fiscal year budget, Councilmember Wilson responded that it should, if it could be done from the current fiscal year budget. Vice Mayor Levitan stated that there had been other requests from this year's budget and his understanding was that Council took the position that until the Village had gone through a budget cycle and developed a fiscal year 2015/2016 budget, Council was not going to consider these types of requests. Councilmember Wilson stated that the Foundation was looking for the funding now and he believed the Village had sufficient funds if the Council chose to pay at this time. Councilmember Boesch inquired about the possibility of calling the Foundation to explain that this was the Village's first year, the budget did not include payment of co...",,,Detected,,,,Avalon at Grandezza Condominium,Avalon at Grandezza Condominium,26.44124231180666,-81.76991455364423,0.5,null,070115 Regular Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/070115%20Regular%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
Budget / Capital Improvement,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2020-07-08,2020-07-08,2020,Accepted,1190,3,Resolution,"Resolution 2020-11 Of The Village Council Of The Village OfEstero, Florida, Approving A Budget Amendment For Coconut Road Improvement Study For Fiscal Year 2019-2020; And Providing An Effective Date Supplemental Task Authorization (STA)-14 under C...","Resolution 2020-11 Of The Village Council Of The Village OfEstero, Florida, Approving A Budget Amendment For Coconut Road Improvement Study For Fiscal Year 2019-2020; And Providing An Effective Date Supplemental Task Authorization (STA)-14 under CN 2020-0. Action: Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village...","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment",,,Detected,,CN 2020-0,,"Coconut Road from US 41 to Via Coconut Point, Estero, FL","Coconut Road from US 41 to Via Coconut Point, Estero, FL",26.398474495578,-81.808064278126,0.95,TD/SS,07082020 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/07082020%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation,1,true,
Budget / Capital Improvement,"Budget, Contracts & Purchasing",7,Village Council,Regular Meeting,Village Council,2021-04-07,2021-04-07,2021,Accepted,530,3,Resolution,"Resolution No. 2021-10 of the Village Council of the Village of Estero, Florida, Approving the Second Budget Amendment for Fiscal Year 2020-2021 to Approve Use of Additional Village Funds and Provide a Funding Transfer for Corkscrew Road/Puente La...","Resolution No. 2021-10 of the Village Council of the Village of Estero, Florida, Approving the Second Budget Amendment for Fiscal Year 2020-2021 to Approve Use of Additional Village Funds and Provide a Funding Transfer for Corkscrew Road/Puente Lane Traff. Action: Approved Resolution 2021-10",Approved Resolution 2021-10,Approved Resolution 2021-10,Approved Resolution 2021-10,,,Detected,,Resolution No. 2021-10,,"Corkscrew Road & Puente Lane, Estero, FL","Corkscrew Road & Puente Lane, Estero, FL",26.431386394627,-81.784740920078,1.0,TD/CS,04072021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/04072021%20minutes.pdf,AgendaItemLocation,1,true,
