ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Ap...",Public Facilities & Services,6,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-06-11,2024-06-11,2024,Accepted,963,2,Vote,"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Ap...","The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Applicant . Action: Approved the Development Order with staff stipulations",Approved the Development Order with staff stipulations,Approved the Development Order with staff stipulations,Approved the Development Order with staff stipulations,,,See minutes,,DOS2024-E004,4,10100 ARCOS AVE,10100 ARCOS AVE,26.43361648020414,-81.78794350168731,0.98,null,06112024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E13100A0000
Corkscrew Road,Public Facilities & Services,6,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-03-11,2025-03-11,2025,Pending,358,2,Vote,"South Regional Library - Redesign of exterior entry and interior remodel (District 4) 18251 Three Oaks Parkway, located on the west side of Three Oaks Parkway and north of Corkscrew Road. No ex parte communication or conflicts of interest were noted","South Regional Library - Redesign of exterior entry and interior remodel (District 4) 18251 Three Oaks Parkway, located on the west side of Three Oaks Parkway and north of Corkscrew Road. No ex parte communication or conflicts of interest were noted. Action: Approved exterior renovation at the entrance",Approved exterior renovation at the entrance,Approved exterior renovation at the entrance,Approved exterior renovation at the entrance,,,See minutes,,,4,"18251 Three Oaks Parkway, Estero, FL","18251 Three Oaks Parkway, Estero, FL",26.433779738905564,-81.78952626707927,1.0,null,03112025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/03112025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
"AAAA PreK-8 School Development Order (DOS2021-E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east. No conflicts have been noted. Chairman Le...",Public Facilities & Services,6,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-10-12,2021-10-12,2021,Accepted,1762,3,Vote,"AAAA PreK-8 School Development Order (DOS2021-E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east. No conflicts have been noted. Chairman Le...","AAAA PreK-8 School Development Order (DOS2021-E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east. No conflicts have been noted. Chairman Levitan an. Action: Approved Development Order for construction of elementary and middle school site and monument sign with the staff conditions, requested variations, and the addition of emergency access on the site","Approved Development Order for construction of elementary and middle school site and monument sign with the staff conditions, requested variations, and the addition of emergency access on the site","Approved Development Order for construction of elementary and middle school site and monument sign with the staff conditions, requested variations, and the addition of emergency access on the site","Approved Development Order for construction of elementary and middle school site and monument sign with the staff conditions, requested variations, and the addition of emergency access on the site",,,See minutes,,DOS2021-E004,4,"20897 Three Oaks Parkway, Estero, FL","20897 Three Oaks Parkway, Estero, FL",26.436576930078,-81.784532881242,1.0,null,10122021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/10122021%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2024-01-24,2024-01-24,2024,Accepted,131,7,Contract Approval,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero,Approval of agreement between the Village and the School Board of Lee County for the acquisition of a parcel of land along Three Oaks Parkway in Estero. Action: Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway,,,Detected,,,,"20897 Three Oaks Parkway, Estero, FL","20897 Three Oaks Parkway, Estero, FL",26.436576930078,-81.784532881242,1.0,TD/CS,01242024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01242024%20minutes.pdf,AgendaItemLocation,1,true,
Architectural Services for PreK-8 School on Three Oaks Parkway,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2021-09-22,2021-09-22,2021,Accepted,1617,8,Contract Approval,Architectural Services for PreK-8 School on Three Oaks Parkway,"Architectural Services for PreK-8 School on Three Oaks Parkway. Action: Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstanc...","Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any ancillary paperwork which may be required on behalf of the Village of Estero Council","Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any ancillary paperwork which may be required on behalf of the Village of Estero Council","Approved a contract, via a piggybacking of the School District's bid, with Harvard Jolly Architecture in the amount of $98,000 to provide architectural and engineering services for additional athletic facilities at the proposed new School District of Lee County PreK-8 School on Three Oaks Parkway, approve a contingency fund amount of $9,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any ancillary paperwork which may be required on behalf of the Village of Estero Council",,,Detected,,,,"20897 Three Oaks Parkway, Estero, FL","20897 Three Oaks Parkway, Estero, FL",26.436576930078,-81.784532881242,1.0,TD/CS,09222021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/09222021%20minutes.pdf,AgendaItemLocation,1,true,
"School Property Three Oaks, AAAA PreK-8 School, Development Order (DOS2021­ E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east",Public Facilities & Services,6,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-09-14,2021-09-14,2021,Accepted,1532,4,Public Comment,"School Property Three Oaks, AAAA PreK-8 School, Development Order (DOS2021­ E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east","School Property Three Oaks, AAAA PreK-8 School, Development Order (DOS2021­ E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east. Action: No formal action recorded. School Property Three Oaks, AAAA PreK-8 School, Development Order (DOS2021­ E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on...","No formal action recorded. School Property Three Oaks, AAAA PreK-8 School, Development Order (DOS2021­ E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: Dana Hume P.E., Johnson Engineering, Inc Steve Johnson, Harvard Jolly Kathie Ebaugh, Lee County School District Leah Holmes. Johnson Engineering Public Comment: None. Board Questions or Comments: Board Members Jones, Naratil, Sheeley, Tatooles, Wallace, Jeannin, Gargano, Chairman Levitan, and Chairman Wood Meeting went into recess at 7:05 pm and reconvened at 7:16 pm. 8","No formal action recorded. School Property Three Oaks, AAAA PreK-8 School, Development Order (DOS2021­ E004) (District 4) 20897 Three Oaks Parkway, 68.5-acre undeveloped parcel south of Copper Oaks, bounded by Three Oaks Parkway on the west and I-75 on the east. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: Dana Hume P.E., Johnson Engineering, Inc Steve Johnson, Harvard Jolly Kathie Ebaugh, Lee County School District Leah Holmes. Johnson Engineering Public Comment: None. Board Questions or Comments: Board Members Jones, Naratil, Sheeley, Tatooles, Wallace, Jeannin, Gargano, Chairman Levitan, and Chairman Wood Meeting went into recess at 7:05 pm and reconvened at 7:16 pm. 8",,,,,,,4,"20897 Three Oaks Parkway, Estero, FL","20897 Three Oaks Parkway, Estero, FL",26.436576930078,-81.784532881242,1.0,null,09142021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/09142021%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
DISCUSSION/RESOLUTION - A discussion and proposed Resolution approving the Fire Control and Prevention Interlocal Agreement between the Estero Fire Rescue District and Village of Estero. Interim Village Attorney Burt Saunders conveyed a request fr...,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2015-03-27,2015-03-27,2015,Accepted,446,5,Vote,DISCUSSION/RESOLUTION - A discussion and proposed Resolution approving the Fire Control and Prevention Interlocal Agreement between the Estero Fire Rescue District and Village of Estero. Interim Village Attorney Burt Saunders conveyed a request fr...,"DISCUSSION/RESOLUTION - A discussion and proposed Resolution approving the Fire Control and Prevention Interlocal Agreement between the Estero Fire Rescue District and Village of Estero. Interim Village Attorney Burt Saunders conveyed a request from the F. Action: Mr. Ribble moved to defer the item, seconded by Mr. Levitan, called and carried","Mr. Ribble moved to defer the item, seconded by Mr. Levitan, called and carried","Mr. Ribble moved to defer the item, seconded by Mr. Levitan, called and carried","Mr. Ribble moved to defer the item, seconded by Mr. Levitan, called and carried",,,Detected,,,,"21500 Three Oaks Parkway, Estero, FL 33928","21500 Three Oaks Parkway, Estero, FL 33928",26.426449705114,-81.788771609677,0.9,null,03272015 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/03272015%20minutes.pdf,AgendaItemLocation,1,true,
"Fire Rescue Interlocal Agreements (Vice Mayor Levitan) Vice Mayor Levitan provided background information regarding the resolutions that were tabled at the July 1, 2015 Council meeting and explained the amendments made to the Interlocal Agreement...",Public Facilities & Services,6,Village Council,Special Meeting,Village Council,2015-11-13,2015-11-13,2015,Accepted,1986,7,Resolution,"Fire Rescue Interlocal Agreements (Vice Mayor Levitan) Vice Mayor Levitan provided background information regarding the resolutions that were tabled at the July 1, 2015 Council meeting and explained the amendments made to the Interlocal Agreement...","Fire Rescue Interlocal Agreements (Vice Mayor Levitan) Vice Mayor Levitan provided background information regarding the resolutions that were tabled at the July 1, 2015 Council meeting and explained the amendments made to the Interlocal Agreement with Est. Action: No formal action recorded. Fire Rescue Interlocal Agreements (Vice Mayor Levitan) Vice Mayor Levitan provided background information regarding the resolutions that were tabled at the July 1, 2015 Council meeting and explained the am...","No formal action recorded. Fire Rescue Interlocal Agreements (Vice Mayor Levitan) Vice Mayor Levitan provided background information regarding the resolutions that were tabled at the July 1, 2015 Council meeting and explained the amendments made to the Interlocal Agreement with Estero Fire Rescue District, noting that there would be amendments to the Interlocal Agreement with San Carlos Fire Rescue District as well. He also noted that there may be a need to adopt an Interlocal Agreement with Bonita Springs Fire Control and Rescue District. Council questions and discussion ensued and Vice Mayor Levitan provided detailed explanation regarding concurrent jurisdiction on impact fees; providing collaboration on rates; and setting an agreement term at 10 years. Scott Vanderbrook, Chief, Estero Fire Rescue District, stated that setting a 10-year term was acceptable and noted that collection of impact fees would be compli","No formal action recorded. Fire Rescue Interlocal Agreements (Vice Mayor Levitan) Vice Mayor Levitan provided background information regarding the resolutions that were tabled at the July 1, 2015 Council meeting and explained the amendments made to the Interlocal Agreement with Estero Fire Rescue District, noting that there would be amendments to the Interlocal Agreement with San Carlos Fire Rescue District as well. He also noted that there may be a need to adopt an Interlocal Agreement with Bonita Springs Fire Control and Rescue District. Council questions and discussion ensued and Vice Mayor Levitan provided detailed explanation regarding concurrent jurisdiction on impact fees; providing collaboration on rates; and setting an agreement term at 10 years. Scott Vanderbrook, Chief, Estero Fire Rescue District, stated that setting a 10-year term was acceptable and noted that collection of impact fees would be compli",,,,,Est,,,"21500 Three Oaks Parkway, Estero, FL 33928","21500 Three Oaks Parkway, Estero, FL 33928",26.426449705114,-81.788771609677,0.9,SS,11132015 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/11132015%20minutes.pdf,AgendaItemLocation,1,true,
Interlocal Agreement with Estero Fire Rescue for Fire Services,Public Facilities & Services,6,Village Council,Emergency Meeting,Village Council,2017-09-06,2017-09-06,2017,Accepted,1409,5,Contract Approval,Interlocal Agreement with Estero Fire Rescue for Fire Services,Interlocal Agreement with Estero Fire Rescue for Fire Services. Action: Approved the Interlocal Agreement with Estero Fire Rescue for fire services,Approved the Interlocal Agreement with Estero Fire Rescue for fire services,Approved the Interlocal Agreement with Estero Fire Rescue for fire services,Approved the Interlocal Agreement with Estero Fire Rescue for fire services,,,Unanimous,Estero Fire Rescue,,,"21500 Three Oaks Parkway, Estero, FL 33928","21500 Three Oaks Parkway, Estero, FL 33928",26.426449705114,-81.788771609677,0.9,,090617 Council Special Emergency Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/090617%20Council%20Special%20Emergency%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
"Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Ap...",Public Facilities & Services,6,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-11-14,2023-11-14,2023,Accepted,1991,1,Vote,"Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Ap...","Hilton Garden Inn - Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Boulevard, a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Boulevard adjacent to the Estero Fire Station. Applicant . Action: Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monumen...","Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order","Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order","Approved Development Order with staff stipulations, the addition of signs for cautioning people to watch for pedestrians, provide extra glass on the west elevation, approval of the most current plans submitted, excluding the monument sign in the Development Order",,,See minutes,,DOS2020-E002,6,8009 SWEETWATER RANCH BLVD,8009 SWEETWATER RANCH BLVD,26.41181500803066,-81.80949049712162,0.98,null,11142023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/11142023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,044725E3301D30000
