ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-01-11,2022-01-11,2022,Accepted,65,5,Public Comment,"Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection","Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Action: No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersecti...","No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: John Wojdak, DeLisi Fitzgerald Gerard Nadeau, Charlan Brock Architects Public Comment: None. Board Questions or Comments: Board Members Wallace, Naratil, Sheeley, Jones, Chairman Levitan, and Chairman Wood. 8","No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: John Wojdak, DeLisi Fitzgerald Gerard Nadeau, Charlan Brock Architects Public Comment: None. Board Questions or Comments: Board Members Wallace, Naratil, Sheeley, Jones, Chairman Levitan, and Chairman Wood. 8",,,,,,DOS2020-E007,5,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",26.430907704137,-81.783054229702,1.0,null,01112022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/01112022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-01-11,2023-01-11,2023,Accepted,70,5,Public Comment,"Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection","Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Action: No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersecti...","No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: John Wojdak, DeLisi Fitzgerald Gerard Nadeau, Charlan Brock Architects Public Comment: None. Board Questions or Comments: Board Members Wallace, Naratil, Sheeley, Jones, Chairman Levitan, and Chairman Wood. 8","No formal action recorded. Estero Crossing Residential Development Order (DOS2020-E007) (District 5) 10500 Corkscrew Road, ±43-acre site (total project size) located on the south side of Corkscrew Road, 1,000 feet west of Corkscrew Road and I-75 intersection. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: John Wojdak, DeLisi Fitzgerald Gerard Nadeau, Charlan Brock Architects Public Comment: None. Board Questions or Comments: Board Members Wallace, Naratil, Sheeley, Jones, Chairman Levitan, and Chairman Wood. 8",,,,,,DOS2020-E007,5,10500 Corkscrew Road,"10500 Corkscrew Road, Estero, FL",26.430907704137,-81.783054229702,1.0,null,01112023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/01112023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-06-14,2022-06-14,2022,Accepted,975,2,Vote,"Development Order - Estero Crossing Residential - Corsa (DOS2021-E007) (District 5) 43-acre site is located west of I-75, south of Corkscrew Road and east of the Lowe's Plaza. The residential units are south of the proposed commercial tract","Development Order - Estero Crossing Residential - Corsa (DOS2021-E007) (District 5) 43-acre site is located west of I-75, south of Corkscrew Road and east of the Lowe's Plaza. The residential units are south of the proposed commercial tract. Action: Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign",Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign,Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign,Approved the Development Order for Estero Crossing Residential as described in the staff report and approved the Monument Sign,,,See minutes,,DOS2021-E007,5,"10500 Corkscrew Road, Estero, FL","10500 Corkscrew Road, Estero, FL",26.430907704137,-81.783054229702,1.0,null,06142022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/06142022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-05-09,2023-05-09,2023,Accepted,739,6,Public Comment,RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of...,RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the Riv. Action: No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single f...,"No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the RiverCreek Development. Applicant also seeks to review the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse, pickleball, tennis, basketball and bocce courts, play area and associated parking. Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Rick Elsner, GL Homes Public Comment None. Board Questions or Comments Board Members Jones, Wallace, and Chairman Wood","No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the RiverCreek Development. Applicant also seeks to review the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse, pickleball, tennis, basketball and bocce courts, play area and associated parking. Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Rick Elsner, GL Homes Public Comment None. Board Questions or Comments Board Members Jones, Wallace, and Chairman Wood",,,,,,DOS2023-E003,,12840 Corkscrew Road,"12840 Corkscrew Road, Estero, FL",26.449146368339,-81.742899851451,1.0,null,05092023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/05092023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-11-08,2022-11-08,2022,Accepted,1977,4,Vote,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat. Action: Approved the Development Order,Approved the Development Order,Approved the Development Order,Approved the Development Order,,,Detected,,,7,"12840 Corkscrew Road, Estero, FL","12840 Corkscrew Road, Estero, FL",26.449146368339,-81.742899851451,1.0,null,11082022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/11082022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-11-08,2022-11-08,2022,Accepted,1978,5,Vote,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte co...,Rivercreek Phase 2 Corkscrew Crossing Development Order (District 7) (DOS2022- E011) 12840 Corkscrew Road located east of Wildcat Run and west of The Preserve Phase Two consists of 213 single family lots on approximately 48.3 acres. No ex parte communicat. Action: Approved to continue the meeting until 9:15 pm,Approved to continue the meeting until 9:15 pm,Approved to continue the meeting until 9:15 pm,Approved to continue the meeting until 9:15 pm,,,Detected,,,7,"12840 Corkscrew Road, Estero, FL","12840 Corkscrew Road, Estero, FL",26.449146368339,-81.742899851451,1.0,null,11082022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/11082022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-05-09,2023-05-09,2023,Accepted,739,6,Public Comment,RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of...,RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the Riv. Action: No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single f...,"No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the RiverCreek Development. Applicant also seeks to review the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse, pickleball, tennis, basketball and bocce courts, play area and associated parking. Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Rick Elsner, GL Homes Public Comment None. Board Questions or Comments Board Members Jones, Wallace, and Chairman Wood","No formal action recorded. RiverCreek Phase 3 and Recreation Site Development Orders (District ) (DOS2023-E003 & Pending DO for Phase III) 12840 Corkscrew Road and 20161 Camellia Crosse Lane Applicant seeks to construct 200 single family homes on 56.25 acres as Phase III of the RiverCreek Development. Applicant also seeks to review the recreational campus located on Tract ""A"". Recreational amenities include a 14,546 S.F. clubhouse, pickleball, tennis, basketball and bocce courts, play area and associated parking. Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Rick Elsner, GL Homes Public Comment None. Board Questions or Comments Board Members Jones, Wallace, and Chairman Wood",,,,,,DOS2023-E003,,20161 Camellia Crosse Lane,"20161 Camellia Crosse Lane, Estero, FL",26.446950624905,-81.741493233359,1.0,null,05092023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/05092023%20PZDB%20Minutes.pdf,AgendaItemLocation,2,false,
"Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village of Estero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned...",Residential Development,1,Village Council,Regular Meeting,Village Council,2016-07-13,2016-07-13,2016,Accepted,1231,9,Ordinance,"Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village of Estero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned...","Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village of Estero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned Developm. Action: No formal action recorded. Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village of Estero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Dev...","No formal action recorded. Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village of Estero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned Development District (EPD) to Allow a 205 Unit Multifamily Residential Project with Associated Amenities for Property Located at 9050 Corkscrew Road Consisting of Approximately 16.95 Acres; Denying the Application for a Rezoning to Residential Planned Development District (RPO); Approving a Master Concept Plan, Certain Deviations and Conditions of Development; Providing Findings; Denying the Application for a Comprehensive Plan Amendment from Suburban Land Use Category to Intensive Development Land Use Category; Providing for Conflicts; Providing for Severability; and Providing an Effective Date Mayor Batos explained the quasi-judicial process. ","No formal action recorded. Case No. DCI 2015-00009 Genova Ordinance No. 2016-08 An Ordinance of the Village Council of the Village of Estero, Florida, Approving a Rezoning from Agricultural District (AG-2) and Commercial Planned Development District (CPD) to Estero Planned Development District (EPD) to Allow a 205 Unit Multifamily Residential Project with Associated Amenities for Property Located at 9050 Corkscrew Road Consisting of Approximately 16.95 Acres; Denying the Application for a Rezoning to Residential Planned Development District (RPO); Approving a Master Concept Plan, Certain Deviations and Conditions of Development; Providing Findings; Denying the Application for a Comprehensive Plan Amendment from Suburban Land Use Category to Intensive Development Land Use Category; Providing for Conflicts; Providing for Severability; and Providing an Effective Date Mayor Batos explained the quasi-judicial process. ",,,,,Associated Amenities,Ordinance No. 2016-08,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,1.0,,071316 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/071316%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-09-28,2021-09-28,2021,Accepted,1682,5,Public Comment,"Genova Zoning Amendment (District 5)21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Amend the Estero Planned Development Zoning to construct townhomes on the remaining unbuilt portion of the site in lieu of cond...","Genova Zoning Amendment (District 5)21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point Amend the Estero Planned Development Zoning to construct townhomes on the remaining unbuilt portion of the site in lieu of condominium . Action: No formal action recorded. Genova Zoning Amendment (District 5)21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point  Amend the Estero Planned Development Zoning to construct townhomes on the remaining...","No formal action recorded. Genova Zoning Amendment (District 5)21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point  Amend the Estero Planned Development Zoning to construct townhomes on the remaining unbuilt portion of the site in lieu of condominium buildings 5 and 6. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: Jamie Lopez, Barron Collier Companies Steve Sammons, Peninsula Engineering Public Comment: Paul Denett, Genova One Hal Korbee, Genova eComments: Hal Korbee, Genova Board Questions or Comments: Board Members Naratil, Sheeley, Tatooles, Wallace, Jeannin, Gargano, and Chairman Wood","No formal action recorded. Genova Zoning Amendment (District 5)21530 Strada Nuova Circle, southeast corner of Corkscrew Road and Via Coconut Point  Amend the Estero Planned Development Zoning to construct townhomes on the remaining unbuilt portion of the site in lieu of condominium buildings 5 and 6. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: Jamie Lopez, Barron Collier Companies Steve Sammons, Peninsula Engineering Public Comment: Paul Denett, Genova One Hal Korbee, Genova eComments: Hal Korbee, Genova Board Questions or Comments: Board Members Naratil, Sheeley, Tatooles, Wallace, Jeannin, Gargano, and Chairman Wood",,,,,,,5,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,1.0,null,09282021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/09282021%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Residential Development,1,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-01-14,2025-01-14,2025,Pending,74,1,Vote,"Genova Townhomes and Villas Development Order (DOS2023-E012) (District 4) 21471, 21510 and 21520 Strada Nuova Circle, located southeast of the Corkscrew Road and Via Coconut Intersection. The Development Order is for the last phase of the Genova E...","Genova Townhomes and Villas Development Order (DOS2023-E012) (District 4) 21471, 21510 and 21520 Strada Nuova Circle, located southeast of the Corkscrew Road and Via Coconut Intersection. The Development Order is for the last phase of the Genova Estero Pl. Action: Approved Development Order with the staff conditions",Approved Development Order with the staff conditions,Approved Development Order with the staff conditions,Approved Development Order with the staff conditions,,,See minutes,,DOS2023-E012,4,21471 STRADA NUOVA CIR,21471 STRADA NUOVA CIR,26.42928776119197,-81.80371477374048,0.95,null,01142025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/01142025%20PZDB%20Minutes.pdf,AgendaItemLocation,2,false,344625E12300000CE
