ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Corkscrew Road,Transportation & Mobility,4,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-07-25,2023-07-25,2023,Accepted,1309,6,Public Comment,"Wawa Convenience Food & Beverage Store with Gas (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road, previously constructed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to remove the existing str...","Wawa Convenience Food & Beverage Store with Gas (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road, previously constructed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to remove the existing structure a. Action: No formal action recorded. Wawa Convenience Food & Beverage Store with Gas (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road, previously constructed and operated as a Ruby Tuesday Restaurant. Appli...","No formal action recorded. Wawa Convenience Food & Beverage Store with Gas (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road, previously constructed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to remove the existing structure and construct a5,537 square feet convenience store and gas station. Site will be reconfigured to provide for vehicular & pedestrian traffic, parking, and landscaping.  Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Maleia Storum, Bowman Amani Robinson, Bowman Public Comment None. Board Questions or Comments Board Members Sheeley, Wallace, and Chairman Wood","No formal action recorded. Wawa Convenience Food & Beverage Store with Gas (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road, previously constructed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to remove the existing structure and construct a5,537 square feet convenience store and gas station. Site will be reconfigured to provide for vehicular & pedestrian traffic, parking, and landscaping.  Staff Presentation/Comments Mary Gibbs, Community Development Director Jim Hart, Development Review Manager Presentation/Information by Maleia Storum, Bowman Amani Robinson, Bowman Public Comment None. Board Questions or Comments Board Members Sheeley, Wallace, and Chairman Wood",,,,,,DOS2022-E016,4,10081 ESTERO TOWN COMMONS PL,10081 ESTERO TOWN COMMONS PL,26.43076631928911,-81.78522309388235,0.98,null,07252023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07252023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1390000020
"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health...",Transportation & Mobility,4,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-04-09,2024-04-09,2024,Accepted,546,2,Ordinance,"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health...","Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center,. Action: No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot additio...","No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center, with parking improvements. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Joshua J. Jennings P.E, Weiler Engineering Corporation James J. Henley, Burt Hill/Pollock Krieg Public Comment None. Board Questions ","No formal action recorded. Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center, with parking improvements. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Joshua J. Jennings P.E, Weiler Engineering Corporation James J. Henley, Burt Hill/Pollock Krieg Public Comment None. Board Questions ",,,,,June 8,DOS2023-E011,3,19701 S TAMIAMI TRL,19701 S TAMIAMI TRL,26.45400113110861,-81.82155996077842,0.98,null,04092024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/04092024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,204625E3U18092622
"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health...",Transportation & Mobility,4,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-06-11,2024-06-11,2024,Accepted,962,1,Vote,"Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health...","Estero Family Health Center - Addition (DOS2023-E011) (District 3) 19701 S. Tamiami Trail, located east on US 41, north of the Vines entrance. Applicant is seeking approval of a ± 4,153 square foot addition to the north side of the existing health center,. Action: Approved the Development Order with staff recommendations",Approved the Development Order with staff recommendations,Approved the Development Order with staff recommendations,Approved the Development Order with staff recommendations,,,See minutes,,DOS2023-E011,3,19701 S TAMIAMI TRL,19701 S TAMIAMI TRL,26.45400113110861,-81.82155996077842,0.98,null,06112024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,204625E3U18092622
Estero Parkway Improvements,Transportation & Mobility,4,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-02-11,2025-02-11,2025,Pending,224,2,Vote,"Walmart Expansion (DOS2023-E008) (District 2) 19975 S. Tamiami Trail, located at the corner of US 41 and Estero Parkway. The original Development Order was approved in 2012, DOS2012-00045. Seeking to add a3,567 square foot addition to the north si...","Walmart Expansion (DOS2023-E008) (District 2) 19975 S. Tamiami Trail, located at the corner of US 41 and Estero Parkway. The original Development Order was approved in 2012, DOS2012-00045. Seeking to add a3,567 square foot addition to the north side of th. Action: Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41",Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,Approved the Walmart expansion and consideration by Walmart to reroute their trucks off US 41,,,See minutes,,DOS2023-E008,2,19975 S TAMIAMI TRL,19975 S TAMIAMI TRL,26.45078577512305,-81.81707272622631,0.98,null,02112025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/02112025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,214625E4017000010
"Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive",Transportation & Mobility,4,Village Council,Regular Meeting,Village Council,2020-01-08,2020-01-08,2020,Accepted,2512,5,Contract Approval,"Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive","Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive. Action: Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6",,,Detected,,,,20170 S TAMIAMI TRL,20170 S TAMIAMI TRL,26.446129441340606,-81.81579980052186,0.98,,2020-01-08 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,284625E1U18662534
"Consideration of a request for a code enforcement lien mitigation from Deborah Stapleton relating to the property at 20248 Luettich Lane, Estero, FL 33928 (in the Broadway Mobile Home Village)",Transportation & Mobility,4,Village Council,Regular Meeting,Village Council,2025-11-05,2025-11-05,2025,Accepted,1953,3,Vote,"Consideration of a request for a code enforcement lien mitigation from Deborah Stapleton relating to the property at 20248 Luettich Lane, Estero, FL 33928 (in the Broadway Mobile Home Village)","Consideration of a request for a code enforcement lien mitigation from Deborah Stapleton relating to the property at 20248 Luettich Lane, Estero, FL 33928 (in the Broadway Mobile Home Village). Action: Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property",Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property,Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property,Approved staff recommends accepting the owner's request to release the Village's code enforcement lien against her property,,,Detected,Deborah Stapleton relating to the property at 20248 Luettich Lane,,,20248 LUETTICH LN,20248 LUETTICH LN,26.446753561708146,-81.82810422512709,0.98,TD/CS,11052025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/11052025.pdf,AgendaItemLocation,1,true,294625E2040000740
Corkscrew Road,Transportation & Mobility,4,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-09-12,2023-09-12,2023,Accepted,1528,1,Vote,"Wildcat Run Clubhouse - Development Order (DOS2023-E007) (District 7) 20300 Country Club Drive located in the center of Wildcat Run Development, which is south of Corkscrew Road and immediately west of the new development, RiverCreek. Applicant is...","Wildcat Run Clubhouse - Development Order (DOS2023-E007) (District 7) 20300 Country Club Drive located in the center of Wildcat Run Development, which is south of Corkscrew Road and immediately west of the new development, RiverCreek. Applicant is seeking. Action: Approved the clubhouse parking by enlarging the parking lot, adding spaces, golf cart parking, bike racks and pedestrian pathways","Approved the clubhouse parking by enlarging the parking lot, adding spaces, golf cart parking, bike racks and pedestrian pathways","Approved the clubhouse parking by enlarging the parking lot, adding spaces, golf cart parking, bike racks and pedestrian pathways","Approved the clubhouse parking by enlarging the parking lot, adding spaces, golf cart parking, bike racks and pedestrian pathways",,,See minutes,,DOS2023-E007,7,20300 COUNTRY CLUB DR,20300 COUNTRY CLUB DR,26.435736902147063,-81.74958822940889,0.98,null,09122023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,304626E40100A00CE
Corkscrew Road,Transportation & Mobility,4,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-06-10,2025-06-10,2025,Pending,961,4,Public Comment,"Chick-Fil-A - Development Order (Pending Submittal) (District 5) 20320 Grande Oak Shoppes Drive, located on the northeast corner of Ben Hill Griffin Parkway and Corkscrew Road","Chick-Fil-A - Development Order (Pending Submittal) (District 5) 20320 Grande Oak Shoppes Drive, located on the northeast corner of Ben Hill Griffin Parkway and Corkscrew Road. Action: No formal action recorded. Chick-Fil-A - Development Order (Pending Submittal) (District 5) 20320 Grande Oak Shoppes Drive, located on the northeast corner of Ben Hill Griffin Parkway and Corkscrew Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Getra San...","No formal action recorded. Chick-Fil-A - Development Order (Pending Submittal) (District 5) 20320 Grande Oak Shoppes Drive, located on the northeast corner of Ben Hill Griffin Parkway and Corkscrew Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Getra Sanders, Chick-fil-A Charlie Krebs, PE, Bowman Bill Pfeffer, PE, Bowman Public Comment eComments Courtney McDaniel, Bella Terra Sheri DiBiano, The Place at Corkscrew John Echemendia, Cascades Robert Mook, Bella Terra Daniella Chiu, Estero Oaks Milton Goodman, Grandezza In Person Mark Novitski, Bella Terra Board Questions or Comments Board Member Tatooles, Vice Chairman Sheeley and Chairman Gargano. 7","No formal action recorded. Chick-Fil-A - Development Order (Pending Submittal) (District 5) 20320 Grande Oak Shoppes Drive, located on the northeast corner of Ben Hill Griffin Parkway and Corkscrew Road. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Getra Sanders, Chick-fil-A Charlie Krebs, PE, Bowman Bill Pfeffer, PE, Bowman Public Comment eComments Courtney McDaniel, Bella Terra Sheri DiBiano, The Place at Corkscrew John Echemendia, Cascades Robert Mook, Bella Terra Daniella Chiu, Estero Oaks Milton Goodman, Grandezza In Person Mark Novitski, Bella Terra Board Questions or Comments Board Member Tatooles, Vice Chairman Sheeley and Chairman Gargano. 7",,,,,,,5,20320 GRANDE OAK SHOPPES BLVD,20320 GRANDE OAK SHOPPES BLVD,26.437023507620733,-81.76987508479715,0.98,null,06102025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/06102025%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,254625E4200000050
Broadway Avenue Utility Extension,Transportation & Mobility,4,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-08-09,2022-08-09,2022,Accepted,1333,1,Resolution,Special Exception Riverwoods Plantation Pickleball (SEZ2022-E001) (District 1 20481 Plantation Boulevard located approximately 1 mile west of US 41 and north of Broadway West. Final Action Agenda/Minutes are supplemented by audio and video recordi...,Special Exception Riverwoods Plantation Pickleball (SEZ2022-E001) (District 1 20481 Plantation Boulevard located approximately 1 mile west of US 41 and north of Broadway West. Final Action Agenda/Minutes are supplemented by audio and video recordings of t. Action: Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,Approved the Resolution Motion with the condition the applicant must provide either a noise abatement plan or a noise study within 30 days of staff request,,,See minutes,,,1,20481 PLANTATION BLVD,20481 PLANTATION BLVD,26.442851624532015,-81.83135034257168,0.98,null,08092022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/08092022%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,294625E10700A00CE
Comprehensive Plan,Transportation & Mobility,4,Village Council,Regular Meeting,Village Council,2016-05-04,2016-05-04,2016,Accepted,685,8,Public Comment,Overview and Status of Village Center Land Development Code Village Manage Sarkozy provided a brief update. Community Development Director Gibbs addressed the Comprehensive Plan transmittal process; she believed that the Village may have a respons...,Overview and Status of Village Center Land Development Code Village Manage Sarkozy provided a brief update. Community Development Director Gibbs addressed the Comprehensive Plan transmittal process; she believed that the Village may have a response from t. Action: No formal action recorded. Overview and Status of Village Center Land Development Code Village Manage Sarkozy provided a brief update. Community Development Director Gibbs addressed the Comprehensive Plan transmittal process; she be...,"No formal action recorded. Overview and Status of Village Center Land Development Code Village Manage Sarkozy provided a brief update. Community Development Director Gibbs addressed the Comprehensive Plan transmittal process; she believed that the Village may have a response from the state next week. She also addressed form based codes; meetings with the developers; comments received from Florida Department of Transportation; scheduling Planning & Zoning Board hearing dates for Via Coconut and Genova rezoning applications; reformatting the consultant's report for greater flexibility; public space; street connections; designing pedestrian-friendly streets; building mass; high quality, durable buildings; and a Council workshop scheduled for May 11, 2016. Questions or Comments by: Councilmember Wilson and Vice Mayor Levitan. Public Comment: Matt Uhle, representing CP Land Investment LLC and Livingston/Veterans LLC Pa","No formal action recorded. Overview and Status of Village Center Land Development Code Village Manage Sarkozy provided a brief update. Community Development Director Gibbs addressed the Comprehensive Plan transmittal process; she believed that the Village may have a response from the state next week. She also addressed form based codes; meetings with the developers; comments received from Florida Department of Transportation; scheduling Planning & Zoning Board hearing dates for Via Coconut and Genova rezoning applications; reformatting the consultant's report for greater flexibility; public space; street connections; designing pedestrian-friendly streets; building mass; high quality, durable buildings; and a Council workshop scheduled for May 11, 2016. Questions or Comments by: Councilmember Wilson and Vice Mayor Levitan. Public Comment: Matt Uhle, representing CP Land Investment LLC and Livingston/Veterans LLC Pa",,,,,,,,"21450 Strada Nuova Circle, Estero, FL","21450 Strada Nuova Circle, Estero, FL",26.428168875365,-81.804317441678,0.9,,050416 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/050416%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
